ST,NP,BDSP,BLD,RMSP,TEN,VEH,YBL,FINCP,FPARC,HHL,MV,NOC
06,06,02,03,04,3,1,04,000057200,2,2,4,02
32,01,01,07,04,3,1,06,,,1,2,00
53,01,01,08,03,3,1,05,,,1,4,00
25,01,,,,,,,,,,,
34,04,01,08,06,3,1,03,000065100,2,1,5,00
48,02,03,02,05,1,1,01,000016200,4,1,4,00
29,04,03,02,08,3,3,06,000039000,2,1,1,02
37,01,03,02,09,2,1,04,,,1,7,00
17,01,04,02,08,1,2,01,,,1,6,00
39,01,,,,,,,,,,,
05,01,,,,,,,,,,,
15,01,05,02,11,2,2,03,,,1,7,00
06,02,02,05,04,3,1,06,000006400,1,1,3,01
12,04,04,02,07,1,3,13,000085000,4,1,3,00
08,01,01,08,04,3,1,07,,,1,1,00
24,03,03,07,04,3,1,06,,,1,6,00
04,01,02,03,04,2,1,05,,,1,6,00
53,04,03,02,05,1,3,01,000182000,1,1,5,02
48,01,04,02,06,3,1,04,,,1,1,00
04,03,03,02,06,1,2,06,000036000,1,1,3,01
12,01,,,,,,,,,,,
34,00,03,02,05,,,01,,,,,
42,05,04,02,12,2,6,01,000312000,2,1,1,03
42,03,03,02,07,2,4,01,000326400,4,1,3,00
37,04,03,02,04,1,1,05,000389000,4,2,3,00
04,02,03,02,07,1,2,08,000010100,4,1,3,00
18,02,03,02,06,2,3,04,000114710,4,1,7,00
22,00,03,05,07,,,01,,,,,
24,01,03,01,07,2,1,07,,,1,3,00
55,00,02,02,08,,,01,,,,,
06,01,02,02,04,4,1,03,,,1,1,00
21,01,,,,,,,,,,,
22,02,03,02,06,2,2,04,000068000,4,1,7,00
06,01,02,02,04,1,1,02,,,1,7,00
53,01,01,08,03,2,1,06,,,1,1,00
51,01,03,02,05,1,1,04,,,1,2,00
08,04,04,02,08,1,3,06,000074000,2,1,4,02
42,01,03,02,07,1,1,01,,,1,2,00
19,01,00,08,01,3,0,07,,,1,2,00
39,04,04,02,08,1,4,07,000156200,2,1,5,02
17,02,03,02,05,1,2,07,,,1,2,00
06,02,04,02,06,1,2,03,000172820,4,1,6,00
37,00,00,04,01,,,02,,,,,
06,01,01,03,03,3,0,05,,,2,3,00
49,01,,,,,,,,,,,
06,01,01,09,02,3,0,01,,,1,4,00
06,01,,,,,,,,,,,
19,01,04,02,08,1,1,01,,,1,7,00
04,01,,,,,,,,,,,
12,01,02,09,06,3,1,06,,,1,6,00
26,01,03,01,06,1,1,07,,,1,5,00
13,02,04,02,06,1,2,04,000022700,4,2,6,00
01,01,03,02,06,2,1,05,,,1,6,00
13,04,03,02,08,1,4,07,000128300,4,1,5,00
24,04,04,02,11,1,2,08,000172100,2,1,5,02
51,02,02,08,04,3,2,08,,,1,3,00
27,01,,,,,,,,,,,
47,03,04,04,08,3,0,06,000004600,2,1,3,02
22,02,03,02,08,2,3,04,000064700,4,1,7,00
04,02,03,02,07,1,2,09,000060110,4,4,2,00
12,01,00,06,01,3,0,04,,,2,7,00
18,00,00,05,01,,,02,,,,,
13,01,04,02,08,1,2,05,,,1,1,00
45,03,03,02,09,1,4,09,000150250,4,1,4,00
51,01,,,,,,,,,,,
53,01,02,02,04,1,1,07,,,1,5,00
41,01,01,07,03,3,1,06,,,1,4,00
18,05,04,02,11,1,2,06,000165000,3,1,3,03
55,02,03,02,06,1,2,05,,,1,1,00
16,02,03,02,07,1,3,04,000047000,4,1,4,00
48,00,02,02,06,,,06,,,,,
24,02,04,02,09,1,3,01,000417000,4,1,5,00
12,02,03,01,06,2,2,06,000011800,4,1,6,00
09,02,02,02,05,1,2,03,000090000,4,1,5,00
48,01,03,02,05,2,1,04,,,1,7,00
51,02,03,02,07,2,1,01,000079300,4,1,6,00
49,02,02,03,09,1,2,07,,,1,2,00
48,00,02,01,06,,,06,,,,,
45,02,02,02,06,4,2,01,,,1,4,00
34,00,04,02,07,,,05,,,,,
40,01,01,05,03,3,1,01,,,5,2,00
06,01,02,02,04,3,1,05,,,2,3,00
53,02,04,02,08,2,4,03,,,1,2,00
12,01,02,08,04,1,2,05,,,1,3,00
48,01,01,09,03,3,2,07,,,1,3,00
36,04,02,04,04,3,1,08,000040900,3,2,3,02
08,04,04,02,10,3,2,04,000079000,2,1,2,02
37,01,03,02,07,2,1,01,,,1,7,00
28,03,04,02,15,2,0,05,000000000,2,1,5,01
06,01,01,07,02,3,0,02,,,2,6,00
01,01,,,,,,,,,,,
26,02,04,02,08,1,2,01,000044700,4,1,6,00
22,04,02,02,04,3,1,02,000030000,2,1,4,03
45,01,02,09,04,1,1,05,,,1,4,00
39,01,04,02,08,1,1,02,,,1,7,00
54,02,03,02,09,1,2,06,000020500,4,1,6,00
55,01,02,06,03,3,1,07,,,1,2,00
12,02,03,02,06,2,2,04,000042300,4,2,4,00
48,02,03,02,05,1,3,06,000056300,4,1,6,00
30,01,01,02,03,2,1,05,,,1,5,00
17,02,03,02,05,1,2,05,000052000,4,1,7,00
47,02,04,02,08,1,2,04,000023500,4,1,5,00
17,10,05,02,10,1,2,02,000062500,3,1,4,08
26,01,03,02,05,2,1,01,,,1,4,00
48,02,01,09,03,3,2,12,,,2,1,00
31,05,03,02,05,2,6,01,000061600,2,1,6,03
25,03,08,04,10,1,3,03,000082900,4,5,4,00
34,03,04,02,10,1,2,04,000075000,1,3,3,01
34,03,04,02,05,1,3,03,000052800,4,4,4,00
47,02,02,02,06,2,2,03,000061800,4,1,7,00
36,04,01,09,03,3,3,03,000061200,1,2,3,00
06,04,03,02,06,1,5,07,000189130,4,1,5,00
45,01,02,08,04,3,1,03,,,1,7,00
37,00,04,06,06,,,05,,,,,
48,05,03,02,05,1,1,08,000038400,3,2,3,03
39,04,03,02,07,1,4,06,000168000,4,1,6,00
06,01,,,,,,,,,,,
39,01,02,01,04,2,1,05,,,1,4,00
48,05,04,02,05,1,3,02,000058100,2,2,4,01
26,02,03,02,08,2,1,07,000011000,4,1,5,00
54,01,02,02,06,1,1,03,,,3,7,00
42,02,02,02,06,3,2,01,,,2,4,00
21,02,04,02,06,2,1,05,000044000,4,1,7,00
36,08,04,02,08,1,5,05,000057000,2,3,3,04
48,01,,,,,,,,,,,
24,02,03,03,07,1,2,04,000032000,4,1,7,00
40,02,02,02,05,1,0,02,,,1,3,00
10,01,01,07,06,3,0,04,,,1,5,00
04,01,03,02,07,1,2,08,,,1,4,00
20,01,01,06,02,3,1,05,,,1,3,00
24,01,01,08,03,2,0,07,,,1,3,00
56,03,02,01,04,2,2,05,000050000,1,1,4,01
45,03,03,02,07,3,0,03,000027500,4,1,4,00
53,02,03,02,06,2,2,08,000101300,4,1,5,00
13,02,03,02,06,4,2,02,000041000,4,1,6,00
40,01,,,,,,,,,,,
21,03,03,02,05,1,3,08,000080000,1,1,5,01
48,02,03,02,07,1,2,06,000090300,4,1,6,00
24,02,03,02,06,1,4,06,,,1,3,00
49,00,01,06,02,,,07,,,,,
31,00,03,01,04,,,05,,,,,
40,02,02,02,08,2,2,02,,,1,5,00
37,02,03,02,06,2,1,04,000058900,4,1,5,00
09,02,02,05,04,3,1,01,000019000,2,1,5,00
26,03,02,02,09,1,4,06,000130800,4,1,6,00
34,02,02,07,03,3,2,01,000045400,4,2,4,00
42,01,04,02,11,2,1,01,,,1,7,00
48,01,01,07,03,3,0,12,,,1,3,00
51,04,03,02,05,3,1,06,000018700,2,1,3,00
48,01,02,01,04,2,1,04,,,1,5,00
06,01,,,,,,,,,,,
30,00,00,05,01,,,01,,,,,
40,03,03,02,04,2,2,12,000040500,2,1,4,01
27,02,01,06,03,3,1,02,000013000,2,1,1,01
48,00,02,02,05,,,08,,,,,
37,04,02,02,04,3,2,04,000028600,1,1,1,02
46,02,03,02,06,2,2,04,000051290,4,1,7,00
53,03,03,01,04,1,3,05,000122000,2,1,2,01
26,01,,,,,,,,,,,
13,02,03,01,05,2,2,06,000175300,4,1,4,00
06,01,,,,,,,,,,,
26,00,02,02,04,,,05,,,,,
05,01,01,08,02,3,1,03,,,1,1,00
06,01,,,,,,,,,,,
48,03,03,01,05,3,0,07,000000970,1,1,2,02
24,03,04,02,08,1,2,05,000112000,4,5,5,00
21,03,03,02,06,1,2,04,000108400,2,2,4,01
53,03,02,02,05,1,2,04,000039400,3,1,4,02
44,03,03,02,06,2,2,02,000071184,2,1,4,01
48,02,03,02,06,2,2,05,000075600,4,1,7,00
04,02,03,02,07,2,2,03,000027100,4,1,5,00
06,01,,,,,,,,,,,
48,01,,,,,,,,,,,
39,03,03,02,05,1,2,06,000070000,2,3,4,01
30,01,03,02,05,1,1,07,,,1,2,00
42,01,,,,,,,,,,,
29,02,03,02,06,2,2,06,000080000,4,1,6,00
53,01,01,06,04,3,1,07,,,1,5,00
18,03,03,02,08,1,3,02,000131700,4,1,7,00
22,02,03,02,05,2,1,02,000020400,4,1,7,00
05,04,02,04,03,3,1,02,000082000,3,4,2,02
49,02,03,02,05,2,1,07,000031820,4,1,5,00
20,01,02,02,04,2,1,02,,,1,5,00
16,03,03,02,05,3,2,16,000040000,1,1,1,01
41,03,03,06,05,3,3,07,000086400,4,2,2,00
12,01,,,,,,,,,,,
20,02,02,02,04,2,3,03,000070810,4,1,7,00
39,02,02,02,04,1,2,04,000025000,4,1,3,00
17,02,02,09,06,1,2,05,000487370,4,1,6,00
45,01,02,06,05,2,0,05,,,1,1,00
12,02,04,02,10,1,2,04,000155000,4,1,5,00
26,02,03,02,05,2,4,08,000105130,4,1,5,00
06,02,03,02,06,1,2,03,,,4,6,00
25,05,04,02,06,1,2,12,000068000,1,1,1,03
41,01,03,02,06,2,2,01,,,1,5,00
48,02,03,02,07,1,3,06,000117000,4,1,1,00
42,02,02,04,04,3,1,01,000021000,1,2,4,01
27,02,02,03,04,1,2,06,000052000,4,1,3,00
39,01,,,,,,,,,,,
32,02,04,02,08,1,2,05,000044560,4,4,6,00
32,04,02,01,04,3,1,04,000033000,3,2,3,02
24,02,05,02,08,2,2,04,000154900,4,1,7,00
17,02,02,02,05,1,2,01,000122000,4,1,6,00
12,01,,,,,,,,,,,
18,04,04,02,10,2,2,07,000148000,2,1,4,02
36,03,03,02,06,2,2,05,000087200,2,1,5,01
04,01,00,09,01,3,0,07,,,1,1,00
27,01,04,02,08,2,0,01,,,1,7,00
48,02,03,02,04,2,2,07,000024960,4,1,5,00
44,02,01,02,06,2,2,04,000019000,4,1,7,00
17,01,01,02,04,1,0,01,,,1,4,00
04,00,00,02,01,,,06,,,,,
34,07,03,02,06,1,4,03,000109000,1,1,5,00
41,00,03,02,05,,,11,,,,,
42,02,02,02,07,3,1,02,,,1,3,00
37,04,03,02,08,1,2,09,000137000,2,1,3,02
08,01,02,02,04,1,1,01,,,1,3,00
25,02,02,02,04,3,1,07,000025000,2,1,4,01
06,04,02,06,03,3,2,06,000020000,1,2,2,02
26,06,04,02,07,1,3,02,000063400,2,1,5,03
06,02,03,02,07,2,5,02,000043600,4,1,7,00
39,00,02,02,05,,,01,,,,,
12,03,03,02,05,1,2,09,000114040,1,1,1,01
27,01,03,02,06,1,1,07,,,1,5,00
26,01,,,,,,,,,,,
28,01,03,02,05,2,1,04,,,1,3,00
44,01,10,02,22,1,2,01,,,1,6,00
55,02,03,02,05,1,1,05,000063100,4,1,6,00
39,02,02,03,05,2,2,07,,,3,5,00
36,03,02,07,03,3,0,04,,,5,4,00
47,02,02,02,06,2,3,04,000054400,4,1,7,00
25,04,02,02,03,1,3,05,000022000,2,1,5,02
18,01,02,02,06,2,1,03,,,1,7,00
25,01,02,08,04,1,1,03,,,4,3,00
02,02,03,06,05,3,1,05,000108600,4,1,5,00
36,04,03,03,06,1,2,06,000203160,1,1,5,02
12,00,02,07,05,,,06,,,,,
12,02,03,02,06,2,2,05,000261400,4,1,7,00
24,01,,,,,,,,,,,
04,01,01,07,03,3,1,07,,,1,2,00
42,02,02,06,04,3,0,08,000004400,1,1,1,01
17,02,03,02,06,2,2,05,000069000,4,1,7,00
13,03,03,02,05,2,2,02,000050000,2,1,5,01
06,01,,,,,,,,,,,
26,01,,,,,,,,,,,
29,00,03,02,05,,,07,,,,,
53,02,01,08,03,3,0,05,,,1,4,00
35,01,04,02,09,1,1,01,,,1,6,00
34,01,,,,,,,,,,,
01,01,03,02,06,1,1,05,,,1,5,00
12,01,,,,,,,,,,,
25,02,03,04,05,1,2,01,000082000,4,1,1,00
19,02,04,02,12,2,3,02,000051220,4,1,5,00
12,02,02,09,04,3,1,11,000050000,1,3,1,01
53,03,02,05,05,3,1,05,000072000,2,1,3,01
48,04,03,02,05,1,1,03,000028600,2,1,4,01
47,01,,,,,,,,,,,
37,01,04,02,07,2,1,04,,,1,7,00
42,03,03,02,06,1,2,03,000059500,2,1,5,01
21,02,02,02,05,3,1,02,000040500,4,1,1,00
12,00,02,03,05,,,05,,,,,
55,05,04,02,09,1,2,02,000006500,2,1,2,02
37,01,,,,,,,,,,,
04,04,04,02,11,1,2,07,000079600,2,2,5,01
17,04,04,02,10,2,2,07,000180000,3,1,3,02
41,04,05,02,12,2,3,07,000078000,2,1,1,02
01,02,01,03,03,3,1,04,,,1,1,00
19,01,02,07,04,3,1,02,,,1,1,00
48,04,04,02,09,1,2,06,000187380,2,1,4,02
34,00,02,02,04,,,04,,,,,
37,00,02,05,03,,,06,,,,,
48,05,03,02,05,1,3,06,000112000,2,2,5,03
26,07,04,02,06,3,3,03,000022400,2,1,2,05
17,02,02,02,04,1,3,01,000052700,4,1,5,00
28,02,02,02,06,1,2,08,000137700,4,1,4,00
17,06,03,03,07,3,1,05,000022300,3,1,1,05
12,01,02,02,06,1,1,03,,,1,4,00
04,01,01,05,03,3,0,07,,,1,4,00
32,02,02,09,03,2,2,06,000029900,4,4,5,00
06,02,03,02,06,2,1,03,000026100,4,1,7,00
37,02,02,02,06,1,2,06,000052200,4,1,5,00
42,02,02,02,03,1,2,07,000010200,4,1,5,00
39,01,01,09,03,3,1,01,,,1,5,00
40,00,02,01,04,,,07,,,,,
29,01,02,02,05,2,1,04,,,1,4,00
36,04,03,02,07,1,2,08,000104000,3,1,4,02
20,01,,,,,,,,,,,
12,01,03,02,04,2,0,03,,,1,7,00
17,01,01,09,03,3,1,06,,,1,3,00
48,03,04,02,12,2,3,05,000149100,4,1,7,00
42,04,03,02,06,1,3,07,000200000,2,1,5,02
06,01,03,02,06,2,1,02,,,1,4,00
48,07,06,02,10,1,1,11,000017000,3,4,3,03
51,01,,,,,,,,,,,
45,02,04,02,06,3,1,05,000030000,4,1,3,00
31,01,,,,,,,,,,,
55,01,03,02,06,1,1,08,,,1,5,00
20,01,03,02,06,2,2,01,,,1,7,00
12,02,03,02,06,1,3,07,000170600,4,3,4,00
34,02,02,02,05,1,0,02,000043000,4,1,5,00
34,04,03,03,05,3,0,01,000025200,4,2,5,00
34,02,02,02,06,2,1,04,000064580,4,1,7,00
24,01,,,,,,,,,,,
12,04,04,02,08,1,3,07,000064000,2,3,4,01
41,01,03,02,06,1,1,01,,,1,7,00
17,02,02,03,06,2,2,08,000032850,4,1,4,00
04,01,,,,,,,,,,,
25,02,02,04,05,1,0,01,000043100,4,1,5,00
49,01,03,02,05,2,0,01,,,1,7,00
17,01,,,,,,,,,,,
12,04,06,02,15,3,4,10,000012000,4,1,1,00
19,02,03,02,08,2,3,05,,,1,6,00
31,02,03,02,08,1,4,03,000063500,4,1,6,00
06,04,05,02,09,1,3,02,000270000,2,4,4,02
06,04,04,02,08,2,6,05,000099400,4,1,6,00
34,01,03,06,07,2,1,05,,,1,6,00
20,01,,,,,,,,,,,
37,01,03,02,05,1,1,03,,,1,7,00
28,01,,,,,,,,,,,
18,05,03,02,09,1,6,06,000072400,2,2,6,02
51,03,02,01,03,2,4,04,000042700,2,1,5,01
06,04,04,02,08,1,2,07,000148140,2,1,5,02
12,02,03,02,07,2,2,04,000049800,4,1,7,00
26,02,03,03,08,1,2,07,000078860,4,1,5,00
51,02,04,02,14,1,4,07,000117600,4,1,4,00
36,01,04,02,09,2,1,02,,,1,6,00
17,03,03,02,06,1,2,11,000162820,1,1,3,01
48,02,03,02,07,2,2,04,000027400,4,1,7,00
06,02,03,02,06,1,2,04,000080400,4,1,5,00
08,03,03,02,04,1,2,07,000089000,2,1,5,01
51,04,03,02,09,1,3,05,000220300,2,1,5,01
25,05,04,02,09,1,2,06,000142000,2,1,5,03
20,01,02,02,04,2,1,01,,,1,6,00
01,02,02,01,04,3,1,06,000020600,4,1,3,00
13,01,02,02,04,3,1,03,,,1,5,00
25,04,04,02,10,1,2,04,000173400,2,1,5,00
47,04,03,02,06,1,2,07,000054000,3,1,5,01
17,04,03,02,08,1,4,07,000115600,4,1,6,00
08,03,04,01,07,2,1,08,000022000,2,1,4,02
17,01,,,,,,,,,,,
23,02,03,02,06,3,1,01,000016400,4,1,3,00
06,01,,,,,,,,,,,
